CellID,20-22_m,22-23_m,Cck,Pcp4,Pvalb,Sst,Vip,centroidX,centroidY
32641,0,0,0,2,0,0,0,1.716328e+04,8.984014e+03
32642,0,0,0,5,0,0,0,1.633377e+04,9.004749e+03
32648,0,0,1,2,0,0,0,1.721454e+04,9.002188e+03
32653,0,0,1,0,0,0,0,1.726650e+04,9.016649e+03
32665,0,0,2,3,0,0,0,1.703660e+04,9.088242e+03
32673,0,0,1,7,0,0,0,1.651226e+04,9.102915e+03
32676,0,0,0,7,0,0,0,1.599066e+04,9.075104e+03
32681,0,0,0,5,0,0,0,1.730719e+04,9.116322e+03
32682,0,0,1,4,0,0,0,1.690364e+04,9.095771e+03
32683,0,0,0,3,0,0,0,1.603621e+04,9.131765e+03
32684,0,0,0,2,0,0,0,1.619737e+04,9.101983e+03
32688,0,0,0,1,0,0,0,1.622198e+04,9.153215e+03
32689,0,0,0,3,0,0,0,1.664207e+04,9.147725e+03
32690,0,0,0,4,0,0,0,1.721544e+04,9.161831e+03
32691,0,0,0,2,0,0,0,1.637234e+04,9.159412e+03
32695,0,0,0,5,0,0,0,1.781802e+04,9.148092e+03
32696,0,0,0,7,0,1,0,1.674899e+04,9.154486e+03
32698,0,0,0,2,0,0,0,1.788739e+04,9.175958e+03
32699,0,0,0,2,0,0,0,1.625700e+04,9.182631e+03
32700,0,0,0,2,0,0,0,1.759124e+04,9.160119e+03
32701,0,0,2,5,0,0,0,1.718398e+04,9.192439e+03
32702,0,0,2,6,0,0,0,1.691017e+04,9.182073e+03
32703,0,0,0,2,0,0,0,1.600143e+04,9.178884e+03
32705,0,0,1,1,0,0,0,1.746480e+04,9.181358e+03
32708,0,0,0,3,0,0,0,1.765970e+04,9.184945e+03
32710,0,0,0,3,0,0,0,1.680716e+04,9.197674e+03
32711,0,0,0,2,0,0,0,1.711705e+04,9.201482e+03
32713,0,0,1,3,0,0,0,1.771155e+04,9.176017e+03
32714,0,0,0,2,0,0,0,1.716423e+04,9.211052e+03
32719,0,0,0,1,0,0,0,1.779145e+04,9.205545e+03
32721,0,0,0,2,0,0,0,1.749433e+04,9.224261e+03
32725,0,0,0,7,0,0,0,1.794829e+04,9.235704e+03
32729,0,0,0,4,0,0,0,1.619647e+04,9.228533e+03
32730,0,0,0,6,0,0,0,1.708932e+04,9.243514e+03
32731,0,0,0,3,0,0,0,1.729545e+04,9.236363e+03
32734,0,0,0,2,0,0,0,1.622487e+04,9.263893e+03
32735,0,0,0,9,0,0,0,1.674540e+04,9.261638e+03
32736,0,0,0,9,0,0,0,1.702950e+04,9.279976e+03
32739,0,0,0,1,0,0,0,1.758235e+04,9.265718e+03
32743,0,0,0,2,0,0,0,1.722332e+04,9.263671e+03
32745,0,0,0,1,0,0,0,1.793965e+04,9.288448e+03
32746,0,0,0,1,0,0,0,1.735575e+04,9.286262e+03
32749,0,0,0,0,0,0,0,1.599404e+04,9.325160e+03
32750,1,0,0,1,0,0,0,1.657553e+04,9.299534e+03
32752,0,0,0,7,0,1,0,1.694519e+04,9.286551e+03
32754,0,0,0,0,0,0,0,1.754875e+04,9.304003e+03
32755,0,0,0,2,0,0,0,1.780588e+04,9.296671e+03
32756,0,1,0,5,0,0,0,1.637294e+04,9.285288e+03
32759,0,0,0,1,0,0,0,1.759836e+04,9.329254e+03
32761,0,0,0,1,0,0,0,1.775911e+04,9.330129e+03
32763,0,0,0,1,0,0,0,1.785084e+04,9.321212e+03
32767,0,0,0,4,0,0,0,1.623039e+04,9.314062e+03
32768,0,0,0,3,0,0,0,1.626816e+04,9.350304e+03
32769,0,0,0,1,0,0,0,1.619345e+04,9.348869e+03
32773,0,0,0,3,0,0,0,1.784981e+04,9.367401e+03
32774,0,0,0,2,0,0,0,1.703811e+04,9.378400e+03
32775,0,0,0,1,0,0,0,1.712644e+04,9.363372e+03
32777,0,0,0,2,0,0,0,1.766762e+04,9.369254e+03
32778,0,0,0,2,0,0,0,1.645268e+04,9.389107e+03
32785,0,0,0,2,0,0,0,1.600411e+04,9.391348e+03
32786,0,0,0,2,0,0,0,1.791915e+04,9.390513e+03
32787,0,0,0,0,0,0,0,1.618233e+04,9.392794e+03
32789,0,0,0,1,0,0,0,1.779964e+04,9.383013e+03
32791,0,0,0,2,0,0,0,1.768070e+04,9.407167e+03
32792,0,0,0,1,0,0,0,1.632617e+04,9.405073e+03
32793,0,0,0,1,0,1,0,1.713985e+04,9.404869e+03
32794,0,0,0,1,0,0,0,1.742746e+04,9.416301e+03
32796,0,0,0,3,0,0,0,1.605918e+04,9.409065e+03
32797,0,0,0,1,0,0,0,1.612925e+04,9.415729e+03
32798,0,0,0,1,0,0,0,1.720363e+04,9.413344e+03
32799,0,0,1,9,0,0,0,1.709542e+04,9.421569e+03
32805,0,0,0,1,0,0,0,1.764193e+04,9.423195e+03
32806,0,0,0,2,0,0,0,1.622122e+04,9.435540e+03
32807,0,0,0,1,0,0,0,1.717854e+04,9.430640e+03
32808,0,0,0,2,0,0,0,1.628329e+04,9.432752e+03
32809,0,0,0,11,0,0,0,1.653000e+04,9.427806e+03
32812,0,0,0,1,0,0,0,1.766801e+04,9.452357e+03
32813,0,0,0,1,0,0,0,1.776042e+04,9.447422e+03
32814,0,0,0,0,0,0,0,1.635075e+04,9.457877e+03
32817,0,0,0,2,0,0,0,1.602214e+04,9.461952e+03
32820,0,0,0,12,0,0,0,1.779659e+04,9.479829e+03
32823,0,0,0,3,0,0,0,1.764060e+04,9.477672e+03
32825,0,0,0,5,0,0,0,1.608669e+04,9.482671e+03
32827,0,0,0,3,0,0,0,1.724666e+04,9.500554e+03
32831,0,0,0,1,0,0,0,1.772502e+04,9.503945e+03
32832,0,0,0,1,0,0,0,1.795454e+04,9.498699e+03
32834,0,0,0,1,0,0,0,1.632884e+04,9.509419e+03
32843,1,0,0,1,0,0,0,1.638465e+04,9.522076e+03
32844,0,0,0,4,0,0,0,1.663093e+04,9.527554e+03
32845,0,0,0,3,0,0,0,1.652486e+04,9.507022e+03
32847,0,0,0,1,0,0,0,1.746252e+04,9.532670e+03
32848,0,0,0,2,0,0,0,1.738849e+04,9.531342e+03
32850,0,0,0,1,0,0,0,1.609407e+04,9.544153e+03
32853,0,0,0,8,0,0,0,1.612147e+04,9.563639e+03
32854,0,0,0,4,0,0,0,1.655976e+04,9.573868e+03
32856,0,0,0,2,0,0,0,1.617947e+04,9.574919e+03
32859,0,0,0,1,0,0,0,1.768483e+04,9.563410e+03
32861,0,0,0,11,0,0,0,1.597646e+04,9.545607e+03
32862,0,0,0,5,0,0,0,1.607466e+04,9.583912e+03
32863,0,0,0,1,0,0,0,1.721510e+04,9.566901e+03
32865,0,0,0,1,0,0,0,1.604544e+04,9.581710e+03
32867,0,0,0,1,0,0,0,1.633899e+04,9.574370e+03
32870,0,0,0,1,1,0,0,1.766275e+04,9.592308e+03
32873,0,0,0,2,0,0,0,1.613276e+04,9.604073e+03
32874,0,0,0,3,0,0,0,1.790535e+04,9.608898e+03
32876,0,0,0,1,0,0,0,1.723415e+04,9.608049e+03
32878,0,0,0,1,0,0,0,1.622381e+04,9.624009e+03
32879,0,0,0,1,0,0,0,1.767332e+04,9.626502e+03
32880,0,0,0,1,0,0,0,1.778286e+04,9.632404e+03
32882,0,0,0,2,0,0,0,1.615239e+04,9.635876e+03
32885,0,0,0,1,0,0,0,1.742463e+04,9.644929e+03
32887,0,0,1,7,0,0,0,1.795890e+04,9.644840e+03
32888,0,0,0,2,0,0,0,1.733466e+04,9.636314e+03
32891,0,0,0,1,0,0,0,1.618411e+04,9.649712e+03
32894,0,0,0,2,0,0,0,1.599218e+04,9.659894e+03
32897,0,0,0,3,0,0,0,1.614456e+04,9.677215e+03
32898,0,0,0,1,0,0,0,1.680552e+04,9.668696e+03
32903,0,0,0,1,0,0,0,1.777348e+04,9.685736e+03
32905,0,0,0,4,0,0,0,1.617258e+04,9.704874e+03
32906,0,0,0,1,0,0,0,1.663710e+04,9.676456e+03
32908,0,0,0,1,0,0,0,1.675426e+04,9.718109e+03
32910,0,0,0,3,0,0,0,1.624291e+04,9.694930e+03
32912,0,0,0,2,0,0,0,1.749893e+04,9.712223e+03
32917,0,0,0,0,0,0,0,1.767358e+04,9.730704e+03
32918,0,0,0,4,0,0,0,1.607178e+04,9.727247e+03
32920,0,0,0,3,0,0,0,1.754044e+04,9.735664e+03
32921,0,0,0,1,0,0,0,1.625125e+04,9.761962e+03
32922,0,0,0,4,0,0,0,1.604207e+04,9.757684e+03
32923,0,0,0,3,0,0,0,1.611025e+04,9.751498e+03
32924,0,0,0,0,0,0,0,1.737604e+04,9.760991e+03
32927,0,0,0,3,0,0,0,1.620263e+04,9.772349e+03
32928,0,0,1,1,0,0,0,1.615541e+04,9.781258e+03
32929,0,0,0,1,0,0,0,1.631736e+04,9.785887e+03
32932,0,0,0,1,0,0,0,1.796957e+04,9.793705e+03
32934,0,0,0,1,0,0,0,1.792414e+04,9.798907e+03
32935,0,0,0,1,0,0,0,1.766467e+04,9.801752e+03
32936,0,0,0,3,0,0,0,1.678681e+04,9.821984e+03
32937,0,0,0,2,0,0,0,1.644806e+04,9.829811e+03
32938,0,0,0,2,0,0,0,1.735505e+04,9.832450e+03
